                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2609,                 5.1594,                 4.1914,                      0,                      0,                      0,                      0,                 3.0328,                 5.2388,                 4.1578,              4.116e-05,              4.116e-05,              4.116e-05
                      2,                  3.169,                 5.1296,                 4.1621,                      0,                      0,                      0,                      0,                 3.0342,                 5.2385,                 4.1533,             8.4416e-05,             8.4416e-05,             8.4416e-05
